numero_cuenta,nombre_estudiante,nombre_materia,calificacion,promedio,bandera
312232188,Adelina Garcia Sanchez,Algebra ,8,7.68,1
312232191,Lupita de Esteban,Algebra ,9,7.68,1
312232193,Maria Barriga Sandoval,Algebra ,9,7.68,1
312232194,Wilfredo Corominas Zabala,Algebra ,8,7.68,1
312232198,Nico Verdugo Blanes,Algebra ,8,7.68,1
312232201,Juliana Jodar,Algebra ,8,7.68,1
312232202,Alberto Herrera Cortez,Algebra ,9,7.68,1
312232203,Diego Luz Alvares,Algebra ,9,7.68,1
312232205,Karina Matamoroz,Algebra ,10,7.68,1
312232206,Alexdr Nikolenko,Algebra ,8,7.68,1
312232207,Jorge Jimenez Palma,Algebra ,8,7.68,1
312232208,Daiara Saldana,Algebra ,8,7.68,1
312232209,David Romero Mendoza,Algebra ,8,7.68,1
312232210,Rafael Alejandro Ramirez Contreras,Algebra ,9,7.68,1
312232211,Javier Cruz Rojas,Algebra ,10,7.68,1
312232212,Fanny Rojas Tello,Algebra ,10,7.68,1
312232213,Christian Oliva Jimenez,Algebra ,8,7.68,1
312232214,Ruben Arturo Hernandez Rosas,Algebra ,9,7.68,1
312232217,Carlos Juarez David,Algebra ,10,7.68,1
312232188,Adelina Garcia Sanchez,Calculo Diferencial,8,7.52,1
312232190,Eugenio Galan Giron,Calculo Diferencial,8,7.52,1
312232192,Paulina Arino Portillo,Calculo Diferencial,10,7.52,1
312232193,Maria Barriga Sandoval,Calculo Diferencial,9,7.52,1
312232196,Anastasia Cruz Salazar,Calculo Diferencial,10,7.52,1
312232200,Kike Vicens Bou,Calculo Diferencial,10,7.52,1
312232201,Juliana Jodar,Calculo Diferencial,9,7.52,1
312232203,Diego Luz Alvares,Calculo Diferencial,9,7.52,1
312232206,Alexdr Nikolenko,Calculo Diferencial,10,7.52,1
312232208,Daiara Saldana,Calculo Diferencial,9,7.52,1
312232209,David Romero Mendoza,Calculo Diferencial,8,7.52,1
312232210,Rafael Alejandro Ramirez Contreras,Calculo Diferencial,8,7.52,1
312232212,Fanny Rojas Tello,Calculo Diferencial,9,7.52,1
312232215,Javier Aguirre Cruz,Calculo Diferencial,10,7.52,1
312232217,Carlos Juarez David,Calculo Diferencial,8,7.52,1
312232218,Alexandra Navarrete Ramirez,Calculo Diferencial,8,7.52,1
312232188,Adelina Garcia Sanchez,Geometria Analitica,8,7.35,1
312232190,Eugenio Galan Giron,Geometria Analitica,9,7.35,1
312232192,Paulina Arino Portillo,Geometria Analitica,9,7.35,1
312232200,Kike Vicens Bou,Geometria Analitica,8,7.35,1
312232201,Juliana Jodar,Geometria Analitica,10,7.35,1
312232202,Alberto Herrera Cortez,Geometria Analitica,8,7.35,1
312232203,Diego Luz Alvares,Geometria Analitica,8,7.35,1
312232204,Vania Castellanos Juarez,Geometria Analitica,10,7.35,1
312232207,Jorge Jimenez Palma,Geometria Analitica,10,7.35,1
312232209,David Romero Mendoza,Geometria Analitica,10,7.35,1
312232210,Rafael Alejandro Ramirez Contreras,Geometria Analitica,8,7.35,1
312232211,Javier Cruz Rojas,Geometria Analitica,8,7.35,1
312232213,Christian Oliva Jimenez,Geometria Analitica,10,7.35,1
312232215,Javier Aguirre Cruz,Geometria Analitica,10,7.35,1
312232188,Adelina Garcia Sanchez,Quimica,10,7.9,1
312232190,Eugenio Galan Giron,Quimica,8,7.9,1
312232191,Lupita de Esteban,Quimica,9,7.9,1
312232194,Wilfredo Corominas Zabala,Quimica,10,7.9,1
